userID,subscribers,videoviews,channeltype,grade,MonthlyEarnings,YearlyEarnings
Programa Pânico,8146247,2838181109,Entertainment,A-,€9.1K - €146K,€109.5K - €1.8M
?FavijTV™,5145366,2831948523,Games,B+,€6.9K - €110K,€82.5K - €1.3M
ESPN,4750154,2826192224,Sports,A,€32.4K - €518.8K,€389.1K - €6.2M
Lil pump,14952192,2822002420,Music,A,€33.2K - €531.9K,€398.9K - €6.4M
SHAYTARDS,5038384,2815930994,Entertainment,B,€618 - €9.9K,€7.4K - €118.7K
MatheusKauanVEVO,4413435,2815680404,Music,B+,€9.6K - €153.8K,€115.4K - €1.8M
YoungBoy Never Broke Again,4708426,2815368798,Music,A,€39.1K - €625.6K,€469.2K - €7.5M
KanyeWestVEVO,3722065,2813432164,Music,B+,€6.2K - €99.8K,€74.8K - €1.2M
Dehati India N Masti,8599543,2805352502,Entertainment,A,€9.2K - €146.9K,€110.2K - €1.8M
Movie Talkies,4577102,2794583361,Entertainment,B+,€8.8K - €141.5K,€106.1K - €1.7M
Lachlan,11127416,2785130706,Games,A,€38.9K - €622.4K,€466.8K - €7.5M
Jingle Toons,8145001,2772055132,Film,A,€26.1K - €417.5K,€313.1K - €5M
AkonVEVO,3687590,2767372780,Music,B+,€9.3K - €149.1K,€111.8K - €1.8M
Cardi B,9730073,2766030309,People,A,€51.7K - €827.4K,€620.5K - €9.9M
Unbox Therapy,13904321,2749581672,Tech,A-,€17.9K - €287.1K,€215.3K - €3.4M
MaitreGimsVEVO,4080701,2744064345,Music,B+,€6.3K - €100.3K,€75.2K - €1.2M
BabyBus - Kids Songs & Nursery…,3967026,2742550183,Education,A,€49.5K - €792.3K,€594.2K - €9.5M
Kid Studio,4820831,2742200864,Entertainment,A,€38.8K - €620K,€465K - €7.4M
Lyrical Lemonade,8699589,2740406019,Entertainment,A,€57.7K - €923.1K,€692.3K - €11.1M
Cumicumi,3466631,2739186729,Entertainment,A,€21.8K - €348.8K,€261.6K - €4.2M
KN Channel,4758388,2736660121,Entertainment,A-,€15.9K - €253.7K,€190.3K - €3M
Crazy Frog,5414626,2733774043,Music,A-,€15.6K - €249.7K,€187.3K - €3M
FunToysMedia,6164008,2732416342,Education,A,€52.1K - €834.3K,€625.7K - €10M
Beam Copphone,2154535,2729964865,Entertainment,A,€65K - €1M,€779.8K - €12.5M
TheBrainDit,8033208,2729289399,Games,B+,€3.3K - €52.7K,€39.5K - €631.9K
Miniminter,7882624,2726671411,Games,B+,€5K - €79.5K,€59.7K - €954.5K
DisneyChannelLAVEVO,5473822,2723758655,Music,B+,€8.4K - €133.6K,€100.2K - €1.6M
UsherVEVO,3724864,2708517842,Music,B+,€7.4K - €118.9K,€89.2K - €1.4M
Kluna Tik,6837114,2705478426,Entertainment,A,€35.6K - €569K,€426.8K - €6.8M
mymillionTV,2629629,2704819290,Entertainment,B,€1.2K - €19.8K,€14.9K - €237.7K
H2ODelirious,11602864,2702497722,Games,B+,€6.3K - €100K,€75K - €1.2M
iggyazaleamusicVEVO,5179200,2700874655,Music,A-,€10K - €159.6K,€119.7K - €1.9M
Pica - Pica Oficial,3476434,2700075112,Music,A,€19.5K - €312K,€234K - €3.7M
Denis,7152063,2696999301,Games,A-,€11.5K - €184.1K,€138.1K - €2.2M
Blippi Toys,3567711,2695774313,Entertainment,A,€29K - €464.5K,€348.4K - €5.6M
GEazyMusicVEVO,3965656,2693837328,Music,A-,€12.2K - €194.4K,€145.8K - €2.3M
Los Juguetes de Titi,6584946,2687388274,Entertainment,B+,€9.8K - €156.6K,€117.4K - €1.9M
Gameplayrj,7433579,2686916246,Entertainment,B+,€7.4K - €117.7K,€88.3K - €1.4M
OficialMana,2993604,2685356854,Entertainment,B+,€8.3K - €133K,€99.8K - €1.6M
iBallisticSquid,4209682,2682261465,Games,B,€1.4K - €22.2K,€16.7K - €266.7K
ZaynVEVO,6360872,2680835726,Music,B+,€9K - €143.3K,€107.4K - €1.7M
MTZ Manuel Turizo,5307456,2677218304,Music,A,€33.2K - €531.5K,€398.7K - €6.4M
Disney Junior,3725717,2675893779,Entertainment,A,€29.5K - €472.5K,€354.3K - €5.7M
Geet MP3,10503567,2672316745,,A,€51.7K - €826.8K,€620.1K - €9.9M
iHasCupquake,6571860,2666475479,Games,B,€2K - €31.5K,€23.6K - €378.1K
FunFun Toy Doll TV,6525355,2663588076,Entertainment,A,€23.9K - €381.7K,€286.3K - €4.6M
Pablo Alborán,3761346,2661371077,Music,B+,€9.9K - €157.8K,€118.3K - €1.9M
???? ????,4226419,2658966425,Games,B+,€3.9K - €63K,€47.3K - €756.3K
Fluffy Jet Toys,4426319,2642234327,Entertainment,B,€1.2K - €19.1K,€14.3K - €229.3K
Funny Family Games TV,2281222,2640315541,Film,A,€36.4K - €582.3K,€436.8K - €7M
ChuChuTV Surprise Eggs Learning…,4898591,2639197012,Education,B+,€7.4K - €118.7K,€89K - €1.4M
Monde des Titounis,2922078,2638464260,Film,A-,€12.1K - €193.6K,€145.2K - €2.3M
Sing King Karaoke,5554307,2636756579,Music,A-,€25.5K - €407.7K,€305.8K - €4.9M
YAPYAP,4624965,2636455356,Entertainment,B+,€8.2K - €130.7K,€98K - €1.6M
Makiman131,11097491,2632413715,Entertainment,A-,€14.5K - €231.7K,€173.8K - €2.8M
MBCdrama,2528253,2632363112,Entertainment,A,€18.3K - €293.2K,€219.9K - €3.5M
platinumrecordsmusic,5122654,2632325994,Music,A-,€12K - €191.4K,€143.6K - €2.3M
Você Sabia?,23099626,2632287523,Entertainment,A,€37.1K - €594.2K,€445.6K - €7.1M
Luisito Comunica,22368894,2627691916,Comedy,A,€24.5K - €391.4K,€293.5K - €4.7M
CinemaSins,8289138,2624931560,Film,B,€3K - €47.9K,€36K - €575.4K
????????????…,3391579,2623217574,Film,A-,€13.9K - €223K,€167.3K - €2.7M
Bie The Ska,8719412,2623168283,Entertainment,A-,€13.2K - €210.8K,€158.1K - €2.5M
MrGear,9682253,2622878199,Tech,B+,€4.9K - €78.7K,€59K - €944.3K
Philip DeFranco,6385697,2613837522,Entertainment,B+,€6.7K - €107.5K,€80.7K - €1.3M
DaddyYankeeVEVO,4063894,2604653381,Music,B+,€4.9K - €78.7K,€59K - €944.7K
